id,name,price,sort_id,color_id,image1,image2,description,state,issale,user_id,looked,created_at,updated_at
471,特级盛世飘花老坑玻璃种--莹露椭圆手镯,590000,2,23,10080103.jpg,100801031.jpg,莹露椭圆手镯椭圆手镯最长直径5.3厘米 最短4.8厘米  条宽1.6厘米..........故事一篇---------------------                    “完壁归赵”——还是那块“和氏璧”，到战国后期，被楚国用作向赵国求婚的聘礼，赠给了赵国。秦国也非常想得到它，就宣称愿以十五座城池交换赵国的“和氏璧”。虽名曰交换，其实只想骗而取之，赵国也明白秦国的用意但因惧怕秦又不敢拒绝，于是便派机智勇敢，足智多谋蔺相如担任出使秦国，护送“和氏壁”去秦国交换城池的任务，在谈判过程中，蔺相如识破秦王的阴谋，略施小计，从秦王的手中夺回了“和氏壁”，并顺利地返回赵国。后来，秦统一七国，这块“和氏壁”便被秦始皇琢成世代相传的“传国玉玺”，上刻“受命子天，既寿永昌”八个篆字，成为帝王无上权力的象征........人与玉缘-----------------                    人们说翡翠与人的缘份是天定的，哪块属于你，在一瞬间你们之间就能产生共鸣，喜欢了，可以了，它就随了你。几世修来的缘，总会在今生相聚。人们还说翡翠是有生命的，有自己的心，戴久了，它便与你心灵相通，而浑成一体，从此成了你身体的一部分，也成了你的保护神，正如相爱的人的不离不弃相濡以沫。翡翠为主人消灾而自毁的事情总是能听说，为了护你而牺牲自己，挡去你的灾难，全了你的完整，那便是它的情。破了自己，保全了你，付出了而不计所得,0,已出售,3,4,2010-08-01 13:44:49,2011-09-19 16:24:38
472,翠绿手镯,560000,2,6,10080104.jpg,100801041.jpg,直径5.38厘米  4.72厘米 条宽1.57厘米  条厚 0.73厘米,0,未出售,4,2,2010-08-01 15:01:38,2010-08-01 21:08:19
473,翠绿手镯,60000,2,30,10080105.jpg,100801051.jpg,直径5.6厘米 条宽1，5厘米,0,未出售,4,NULL,2010-08-01 15:34:09,2010-08-01 15:34:14
474,翠花手镯,78000,2,30,10080106.jpg,100801061.jpg,直径5.7厘米  条宽2.3厘米,1,未出售,4,NULL,2010-08-01 15:50:20,2010-08-01 15:50:25
475,翠色手镯,480000,2,30,10080107.jpg,100801071.jpg,直径还跟5.67厘米 条宽1.52厘米  条厚0.79厘米,0,未出售,3,1,2010-08-01 16:09:55,2010-08-01 20:45:40
517,茄紫色挂件·好翡翠·天然翡翠紫气东来如意挂件,6800,1,17,11090801.jpg,110908011.jpg,※【商品品名】:茄紫色挂件·好翡翠·天然翡翠紫气东来如意挂件※【尺寸】：长26mm 宽11mm 厚度8mm 尺寸有小偏差！※【颜色】：纯紫※【品质介绍】:茄紫※【属性】:天然翡翠(A货).※【款型】:佩戴。挂件。挂于胸前※【雕图及寓意】:把玉石列为珠宝，是因为它美！把翡翠列为世界上最贵的物质是因为它除了稀少，不重复，价值连城外，最大的特点还是美，除了外在的美之外，它还与人的生命有关，在所有做首饰的材料中，玉与人最亲也最近，金银是钱，钻石是价，而玉是生命！在你的生命历程中，当你拥有了一件玉器后，你的生活自然平添了一份玉的感受！无论佩带、收藏和馈赠，你都会惜玉如命，珍爱不已！而玉给予你的又是你的希望！你的奢求！你的寄托！你的感受！你的情感！你的超脱！亦既你生命中最有活力的一部分！,3,未出售,1,2,2011-09-08 07:55:29,2011-09-09 07:46:26
518,老坑冰波种飘花·好翡翠·天然翡翠双龙戏珠！,380000,1,2,11090802.jpg,110908021.jpg,※【商品品名】:老坑冰波种飘花·好翡翠·天然翡翠双龙戏珠！※【尺寸】：长5.1cm   宽3cm   厚0.9cm   尺寸有小偏差※【颜色】：白色飘花※【品质介绍】:冰波种※【属性】:天然翡翠(A货).※【款型】:佩戴。挂件。挂于胸前※【雕图及寓意】:把玉石列为珠宝，是因为它美！把翡翠列为世界上最贵的物质是因为它除了稀少，不重复，价值连城外，最大的特点还是美，除了外在的美之外，它还与人的生命有关，在所有做首饰的材料中，玉与人最亲也最近，金银是钱，钻石是价，而玉是生命！在你的生命历程中，当你拥有了一件玉器后，你的生活自然平添了一份玉的感受！无论佩带、收藏和馈赠，你都会惜玉如命，珍爱不已！而玉给予你的又是你的希望！你的奢求！你的寄托！你的感受！你的情感！你的超脱！亦既你生命中最有活力的一部分！好翡翠网店地址:云南省昆明世代景星珠宝城一楼18号实体店名：佳春长珠宝店  地址：云南省昆明世代景星珠宝城一楼18号本站宗旨： 方便广大新老客户通过网络浏览到本店最新商品信息。经营策略：本店经营多年翡翠商品，始终以客户为中心、以诚信为根本。本店承诺：为了规范网上交易市场，本站仅销售天然翡翠A货。如售假货，愿承担一切法律责任，承诺如玉恒久。联系地址：云南省昆明世代景星珠宝城一楼18号联系电话：0871-8043568  15288152608  邮编：650000电子邮箱：haofeicui@126.com   QQ：1417010580,2,未出售,1,NULL,2011-09-08 08:00:13,2011-09-08 08:00:13
519,清水绿·好翡翠·天然翡翠观音相,20000,1,18,11090803.jpg,110908031.jpg,※【商品品名】:★清水绿·好翡翠·天然翡翠镶金观音像※【尺寸】：长2.2cm  宽1.2cm   尺寸有小偏差！※【颜色】：清水绿※【品质介绍】:纯天然（如假包赔）※【属性】:天然翡翠(A货).※【款型】:项坠※【雕图及寓意】：把玉石列为珠宝，是因为它美！把翡翠列为世界上最贵的物质是因为它除了稀少，不重复，价值连城外，最大的特点还是美，除了外在的美之外，它还与人的生命有关，在所有做首饰的材料中，玉与人最亲也最近，金银是钱，钻石是价，而玉是生命！在你的生命历程中，当你拥有了一件玉器后，你的生活自然平添了一份玉的感受！无论佩带、收藏和馈赠，你都会惜玉如命，珍爱不已！而玉给予你的又是你的希望！你的奢求！你的寄托！你的感受！你的情感！你的超脱！亦既你生命中最有活力的一部分！好翡翠网店地址:云南省昆明世代景星珠宝城一楼18号实体店名：佳春长珠宝店  地址：云南省昆明世代景星珠宝城一楼18号本站宗旨： 方便广大新老客户通过网络浏览到本店最新商品信息。经营策略：本店经营多年翡翠商品，始终以客户为中心、以诚信为根本。本店承诺：为了规范网上交易市场，本站仅销售天然翡翠A货。如售假货，愿承担一切法律责任，承诺如玉恒久。联系地址：云南省昆明世代景星珠宝城一楼18号联系电话：0871-8043568  15288152608  邮编：650000电子邮箱：haofeicui@126.com   QQ：1417010580 ,2,未出售,1,NULL,2011-09-08 08:04:27,2011-09-08 08:04:27
520,清水绿·好翡翠·天然翡翠飞龙在天,60000,1,12,11090804.jpg,110908041.jpg,※【商品品名】:★清水绿·好翡翠·天然翡翠飞龙在天※【尺寸】：长7.5cm  宽3.7cm   厚1.1cm     尺寸有小偏差！※【颜色】：油青※【品质介绍】:纯天然（如假包赔）※【属性】:天然翡翠(A货).※【款型】:项坠※【雕图及寓意】：把玉石列为珠宝，是因为它美！把翡翠列为世界上最贵的物质是因为它除了稀少，不重复，价值连城外，最大的特点还是美，除了外在的美之外，它还与人的生命有关，在所有做首饰的材料中，玉与人最亲也最近，金银是钱，钻石是价，而玉是生命！在你的生命历程中，当你拥有了一件玉器后，你的生活自然平添了一份玉的感受！无论佩带、收藏和馈赠，你都会惜玉如命，珍爱不已！而玉给予你的又是你的希望！你的奢求！你的寄托！你的感受！你的情感！你的超脱！亦既你生命中最有活力的一部分！好翡翠网店地址:云南省昆明世代景星珠宝城一楼18号实体店名：佳春长珠宝店  地址：云南省昆明世代景星珠宝城一楼18号本站宗旨： 方便广大新老客户通过网络浏览到本店最新商品信息。经营策略：本店经营多年翡翠商品，始终以客户为中心、以诚信为根本。本店承诺：为了规范网上交易市场，本站仅销售天然翡翠A货。如售假货，愿承担一切法律责任，承诺如玉恒久。联系地址：云南省昆明世代景星珠宝城一楼18号联系电话：0871-8043568  15288152608  邮编：650000电子邮箱：haofeicui@126.com   QQ：1417010580 ,2,未出售,1,NULL,2011-09-08 08:08:24,2011-09-08 08:08:25
521,荧光玻璃种·好翡翠·天然翡翠欢喜弥勒佛,3000000,1,2,11090805.jpg,110908051.jpg,<p><span><span><span><strong><span><span><span><span><span><span><span><strong><span><span><span><span><span><font face="楷体_GB2312"><strong><font size="4"><font color="#008000" size="5">※【商品品名】:★荧光玻璃种&middot;好翡翠&middot;天然翡翠欢喜弥勒佛</font></font></strong></font></span></span></span></span></span></strong></span></span></span></span></span></span></span></strong></span></span></span></p><p><span><span><span><strong><span><span><span><span><span><span><span><strong><span><span><span><span><span><span><span><span><span><font face="楷体_GB2312"><span><font face="楷体_GB2312"><strong><span><span><span><span><font face="楷体_GB2312"><span><font face="楷体_GB2312" size="3"><strong>※【尺寸】：长4.2cm&nbsp;&nbsp;宽3.9cm&nbsp;&nbsp; 厚0.9cm&nbsp;&nbsp;&nbsp;&nbsp; 尺寸有小偏差！<br /></strong></font></span></font></span></span></span></span></strong></font></span></font></span></span></span></span></span></span></span></span></span></strong></span></span></span></span></span></span></span></strong></span></span></span></p><p><span><span><span><strong><span><span><span><span><span><span><span><strong><span><span><span><span><span><span><span><span><span><font face="楷体_GB2312"><span><font face="楷体_GB2312" size="4"><strong><span><span><span><span><font face="楷体_GB2312"><span><span><span><span><strong><span><span><span><span><span><span><span><strong><span><span><span><span><span><span><span><span><span><font face="楷体_GB2312"><span><font face="楷体_GB2312" size="4"><strong><span><span><span><span><font face="楷体_GB2312"><span><font face="楷体_GB2312" size="4"><strong>※【颜色<font size="3">】：白色</font></strong></font></span></font></span></span></span></span></strong></font></span></font></span></span></span></span></span></span></span></span></span></strong></span></span></span></span></span></span></span></strong></span></span></span></span></font></span></span></span></span></strong></font></span></font></span></span></span></span></span></span></span></span></span></strong></span></span></span></span></span></span></span></strong></span></span></span></p><p><span><span><span><strong><span><span><span><span><span><span><span><strong><span><span><span><span><span><span><span><span><font face="楷体_GB2312" size="3"><strong>※【品质介绍】:纯天然（如假包赔）</strong></font></span></span></span></span></span></span></span></span></strong></span></span></span></span></span></span></span></strong></span></span></span></p><p><span><span><span><strong><span><span><span><span><span><span><span><strong><span><span><span><span><span><span><font face="楷体_GB2312" size="4"><strong>※【属性】:天然翡翠(A货).</strong></font></span></span></span></span></span></span></strong></span></span></span></span></span></span></span></strong></span></span></span></p><p><span><span><span><span><font face="楷体_GB2312" size="4"><strong><font size="3">※【款型】:项坠</font></strong></font></span></span></span></span></p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p><span><span><span><font face="楷体_GB2312"><strong><font size="3">※【雕图及寓意<font color="#000000">】：</font></font></strong></font></span></span></span><span><span><span><font face="楷体_GB2312"><strong><font color="#000000" size="3">把玉石列为珠宝，是因</font></strong></font></span></span></span><span><span><span><font face="楷体_GB2312"><strong><font color="#000000" size="3">为它美！把翡翠列为世界上最贵的物质是因为它除了稀少，不重复，价值连城外，最大的特点</font></strong></font></span></span></span><span><span><span><font face="楷体_GB2312"><strong><font color="#000000" size="3">还是美，除了外在的美之外，它还与人的生命有关，在所有做首饰的材料中，玉与人最亲也最</font></strong></font></span></span></span><span><span><span><font face="楷体_GB2312"><strong><font color="#000000" size="3">近，金银是钱，钻石是价，而玉是生命！在你的生命历程中，当你拥有了一件玉器后，你的生</font></strong></font></span></span></span><span><span><span><font face="楷体_GB2312"><strong><font color="#000000" size="3">活自然平添了一份玉的感受！无论佩带、收藏和馈赠，你都会惜玉如命，珍爱不已！而玉给予</font></strong></font></span></span></span><span><span><span><font face="楷体_GB2312"><strong><font color="#000000" size="3">你的又是你的希望！你的奢求！你的寄托！你的感受！你的情感！你的超脱！亦既你生命中最有活力的一部分！</font></strong></font></span></span></span></p><p><span><span><span><span><span><span><span><font face="楷体_GB2312"><span><span><font face="楷体_GB2312" size="4"><strong>※【原石产地】:缅甸</strong></font></span></span></font></span></span></span></span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span><span><font face="楷体_GB2312"><font size="4"><strong><span><span><span><span><span><span><span><span><span><span><span><span><span><span><font face="楷体_GB2312"><font size="4"><strong><span><span><span><span><span><span><span><span><span><span><span><span><span><font face="楷体_GB2312"><font size="4"><strong><span><span><span><span><span><span><span><span><span><span><span><span><font face="楷体_GB2312" size="4"><strong>※【光性特征】(D.C.):非均质集合体</strong></font></span></span></span></span></span></span></span></span></span></span></span></span></strong></font></font></span></span></span></span></span></span></span></span></span></span></span></span></span></strong></font></font></span></span></span></span></span></span></span></span></span></span></span></span></span></span></strong></font></font></span></span></span></span></span></p><p><span><span><span><p><span><font face="楷体_GB2312"><font size="4"><strong><span><span><span><span><span><span><span><span><span><span><span><span><font face="楷体_GB2312" size="4"><strong>※【折射率】:(Rrecious Metal Spectrum)：1.66（点测）</strong></font></span></span></span></span></span></span></span></span></span></span></span></span></strong></font></font></span></p><p><span><font face="楷体_GB2312"><font size="4"><strong><span><span><span><span><span><span><span><span><span><span><span><span><span><span><font face="楷体_GB2312"><font size="4"><strong><span><span><span><span><span><span><span><span><span><span><span><span><span><font face="楷体_GB2312"><font size="4"><strong><span><span><span><span><span><span><span><span><span><span><span><span><span><span><font face="楷体_GB2312"><font size="4"><strong><span><span><span><span><span><span><span><span><span><span><span><span><span><font face="楷体_GB2312"><font size="4"><strong><span><span><span><span><span><span><span><span><span><span><span><span><font face="楷体_GB2312" size="4"><strong>※【放大检查】:纤维粒状变晶结构</strong></font></span></span></span></span></span></span></span></span></span></span></span></span></strong></font></font></span></span></span></span></span></span></span></span></span></span></span></span></span></strong></font></font></span></span></span></span></span></span></span></span></span></span></span></span></span></span></strong></font></font></span></span></span></span></span></span></span></span></span></span></span></span></span></strong></font></font></span></span></span></span></span></span></span></span></span></span></span></span></span></span></strong></font></font></span></p></span></span></span><span><span><span><p><span><font face="楷体_GB2312"><font size="4"><strong><span><span><span><span><span><span><font face="楷体_GB2312" size="4"><strong>※【图片说明】:自然光下拍摄，图片与实物一致，未经任何处理！</strong></font></span></span></span></span></span></span></strong></font></font></span></p></span></span></span></p><p><span><span><span><span><font face="楷体_GB2312"><font size="4"><strong><span><span><span><span><span><span><span><span><span><span><span><span><span><font face="楷体_GB2312"><span><font face="楷体_GB2312"><font size="4"><strong><span><font face="楷体_GB2312" size="4"><strong>※【好翡翠</strong></font></span>承诺】:您不喜欢可以退(7天无理由退还)，详细定义请参阅&quot;买家必读&quot;</strong></font></font></span></font></span></span></span></span></span></span></span></span></span></span></span></span></span></strong></font></font></span></span></span></span></p><p><font face="楷体_GB2312" size="4"><strong><img height="50" alt="" src="http://www46.babidou.com/pic/2009/4/13/adazhangxy/2010tupian/%E6%A8%A1%E6%9D%BF2.gif" width="740" border="0" /></strong></font><table cellspacing="0" cellpadding="0" width="700" align="center" border="0">    <tbody>        <tr>            <td>            <p><font face="楷体_GB2312" size="4"><strong>1.<span><span><span><font face="楷体_GB2312"><span><font face="楷体_GB2312"><strong><span><font face="楷体_GB2312"><strong>【A货保证</strong></font></span>】:★好翡翠★</strong></font></span></font></span></span></span>保证只出售纯天然A货翡翠。如买家不放心，欢迎顾客在当地法定检验机构进行检测鉴定，如检验结果不符，本店保证承担责任，假一赔百!让您买的放心!</strong></font></p>            <p><strong><font face="楷体_GB2312"><font size="4">2.<span><span><span><font face="楷体_GB2312"><span><font face="楷体_GB2312"><strong><span><font face="楷体_GB2312"><strong>【7天无理由退还条例</strong></font></span>】:本店售出的商品及交易过程无错误，并且退回商品的原因为买家主观因素造成，则邮费买家自理。如本店造成的交易错误，商品发错，规格误差（在2mm以上），以及实物有商品照片上没有拍到或说明没有提到的绺裂瑕疵等质量问题，则邮费由本店全部承担.</strong></font></span></font></span></span></span></font></font></strong></p>            <p><font face="楷体_GB2312"><strong><span><span><span><font face="楷体_GB2312"><span><span><span><span><font face="楷体_GB2312"><span><font face="楷体_GB2312"><span><font face="楷体_GB2312" size="4"><strong>请注意，货品须在收货后7天内退回，还须保证没有使用过和包装完好，如参加&quot;买一送一&quot;或&quot;来买即送&quot;活动的商品，必须将好翡翠出售时所赠送的附属品一起退回。</strong></font></span></font></span></font></span></span></span></span></font></span></span></span></strong></font></p>            <p><font face="楷体_GB2312"><strong><span><span><span><font face="楷体_GB2312"><span><span><span><span><font face="楷体_GB2312"><span><font face="楷体_GB2312" size="4"><span>3.<span><span><span><font face="楷体_GB2312"><span><font face="楷体_GB2312"><strong><span><font face="楷体_GB2312"><strong>【买家需知</strong></font></span>】:</strong></font></span></font></span></span></span>因为翡翠是由缅甸&ldquo;密支那&rdquo;山脉的天然玉石雕刻而成，所以天然翡翠自然行成的细小石纹，绵，石筋，黑点杂质，冰种碎冰纹结构，等均是A货翡翠的正常表现和特性，不属于瑕疵！且经雕刻、修、避、藏，处理的裂纹也不在好翡翠理解的瑕疵之内！（如果您发现收到的翡翠雕件上某个花纹中藏有&ldquo;裂纹&rdquo;，这不属于瑕疵，好翡翠也不会在说明中特别注明！）</span></font></span></font></span></span></span></span></font></span></span></span></strong></font></p>            <p><font face="楷体_GB2312"><strong><span><span><span><font face="楷体_GB2312"><span><span><span><span><font face="楷体_GB2312"><span><font face="楷体_GB2312" size="4"><span>照片永远无法达到和实物100%一致！何况还有观看时光线不同，及显示器不同带来的误差。所以一定程度的图片和实物误差均在无理由退货范围之内(买家主观因素造成)。不属于瑕疵及质量问题.</span></font></span></font></span></span></span></span></font></span></span></span></strong></font></p>            <p><font face="楷体_GB2312" size="4"><strong>4.【证书赠送定义】:凡购买本店五百元以上翡翠商品，均赠送华东理工大学宝石检测中心鉴定处出具的珠宝玉石证书。购买三百元以上商品，均赠送CMA小证书。三百元以下及特价商品如有需要可出鉴定证书(费用由买家自理，30元成本费)。</strong></font></p>            <p>&nbsp;</p>            <p><font face="楷体_GB2312"><strong><span><font size="4">5.【拍摄说明】:<span><font face="楷体_GB2312"><strong><span><span><span><span><span><span><font face="楷体_GB2312"><strong>由于翡翠在不同光线下所体现的颜色也不尽相同，及不同显示器间设定的参数值不同，导致实物与图片间存在难以克服的细微色差，针对此问题，本店所有商品照片，均为多角度，室内自然光线下拍摄。请您收到物品后到相同光线下对比，我们保证图片与实物较高的吻合性。再通过详尽的商品形容，争取让您最大限度的了解和透析商品。</strong></font></span></span></span></span></span></span></strong></font></span></font></span></strong></font></p>            <p><font face="楷体_GB2312"><strong><span><span><font face="楷体_GB2312"><strong><span><span><span><span><span><span><font size="4">6.<span><strong><font face="楷体_GB2312">【签收邮件】:&nbsp;您收到邮局包裹时请当着邮局工作人员的面打开包裹检查货物，确认您收到的商品符合您购买的商品说明及规格，且无任何损伤时，才可签收您的包裹，若不符合您购买的商品，请您当场拒收，并尽快与本店联系.</font></strong></span></font></span></span></span></span></span></span></strong></font></span></span></strong></font></p>            <p><font face="楷体_GB2312"><strong><span><span><font face="楷体_GB2312"><strong><span><span><span><span><span><span><span><span><strong><font face="楷体_GB2312" size="4">特别注意:买家寄回商品时必需按好翡翠包装方法寄回，确保邮寄无损坏风险。</font></strong></span></span></span></span></span></span></span></span></strong></font></span></span></strong></font></p>            </td>        </tr>    </tbody></table><font face="楷体_GB2312" size="4"><strong><img height="50" alt="" src="http://www46.babidou.com/pic/2009/4/13/adazhangxy/2010tupian/%E6%A8%A1%E6%9D%BF3.gif" width="740" border="0" /></strong></font><table cellspacing="0" cellpadding="0" width="700" align="center" border="0">    <tbody>        <tr>            <td>            <p><font face="楷体_GB2312" size="4"><strong>凡在本店一次购买多件只收一次邮费，多余部分由本店承担.</strong></font><font face="楷体_GB2312" size="4"><strong><br />            <span>鉴翡翠为高档消费品，本店强烈推荐商品使用特快专递EMS</span></strong></font></p>            </td>        </tr>    </tbody></table><font face="楷体_GB2312" size="4"><strong><img height="52" alt="" src="http://www46.babidou.com/pic/2009/4/13/adazhangxy/2010tupian/%E6%A8%A1%E6%9D%BF4.gif" width="740" border="0" /></strong></font><br /><table cellspacing="0" cellpadding="0" width="700" align="center" border="0">    <tbody>        <tr>            <td>            <p><font face="楷体_GB2312" size="4"><strong>好翡翠网店</strong></font></p>            <p><font size="4"><font face="楷体_GB2312"><strong>地址:</strong>云南省<strong>昆明世代景星珠宝城</strong>一楼18号<br />            </font></font></p>            <p>实体店名：佳春长珠宝店&nbsp;&nbsp;地址：云南省<strong>昆明世代景星珠宝城</strong>一楼18号</p>            <p>本站宗旨： 方便广大新老客户通过网络浏览到本店最新商品信息。</p>            <p>经营策略：本店经营多年翡翠商品，始终以客户为中心、以诚信为根本。</p>            <p>本店承诺：为了规范网上交易市场，本站仅销售天然翡翠A货。如售假货，愿承担一切法律责任，承诺如玉恒久。</p>            <p>联系地址：云南省<strong>昆明世代景星珠宝城</strong>一楼18号</p>            <p>联系电话：0871-8043568&nbsp;&nbsp;15288152608&nbsp;&nbsp;邮编：650000</p>            <p>电子邮箱：haofeicui@126.com &nbsp;&nbsp;QQ：1417010580</p>            </td>        </tr>    </tbody></table></p>,0,未出售,1,1,2011-09-08 08:11:57,2011-09-20 16:37:07
522,冰蓝·好翡翠·天然翡翠欢喜弥勒佛,120000,1,18,11090806.jpg,110908061.jpg,※【商品品名】:★冰蓝·好翡翠·天然翡翠欢喜弥勒佛※【尺寸】：长3.3cm  宽1.8cm   厚0.9cm     尺寸有小偏差！※【颜色】：冰蓝※【品质介绍】:纯天然（如假包赔）※【属性】:天然翡翠(A货).※【款型】:项坠※【雕图及寓意】：把玉石列为珠宝，是因为它美！把翡翠列为世界上最贵的物质是因为它除了稀少，不重复，价值连城外，最大的特点还是美，除了外在的美之外，它还与人的生命有关，在所有做首饰的材料中，玉与人最亲也最近，金银是钱，钻石是价，而玉是生命！在你的生命历程中，当你拥有了一件玉器后，你的生活自然平添了一份玉的感受！无论佩带、收藏和馈赠，你都会惜玉如命，珍爱不已！而玉给予你的又是你的希望！你的奢求！你的寄托！你的感受！你的情感！你的超脱！亦既你生命中最有活力的一部分！好翡翠网店地址:云南省昆明世代景星珠宝城一楼18号实体店名：佳春长珠宝店  地址：云南省昆明世代景星珠宝城一楼18号本站宗旨： 方便广大新老客户通过网络浏览到本店最新商品信息。经营策略：本店经营多年翡翠商品，始终以客户为中心、以诚信为根本。本店承诺：为了规范网上交易市场，本站仅销售天然翡翠A货。如售假货，愿承担一切法律责任，承诺如玉恒久。联系地址：云南省昆明世代景星珠宝城一楼18号联系电话：0871-8043568  15288152608  邮编：650000电子邮箱：haofeicui@126.com   QQ：1417010580 ,2,未出售,1,NULL,2011-09-08 08:24:45,2011-09-08 08:24:46
